ds,yhat,yhat_lower,yhat_upper
2015-09-13,13697.322984577979,6817.132478438985,20296.437907707834
2015-09-14,9757.260438901185,3261.339617674755,16996.794920893015
2015-09-15,7998.122101828948,1607.39885296287,14851.162524007786
2015-09-16,7964.586831547376,1417.6937610971295,15139.695813363041
2015-09-17,7574.366246532197,915.6438374373176,14600.065947572532
2015-09-18,8202.497008851444,1828.247162546339,15088.98603821037
2015-09-19,11667.01288165194,5532.635610972438,18345.24839582219
2015-09-20,10831.523454931485,4199.120934089382,18246.450838657205
2015-09-21,7078.842344476254,-80.18132624382297,13592.121560627396
2015-09-22,5515.878299418127,-888.8553144270143,12388.571787477606
2015-09-23,5684.266968375167,-1364.977238147306,12737.510354787764
2015-09-24,5498.576198736598,-988.3629254164377,12303.981087248108
2015-09-25,6330.662554966389,-562.17373090076,13079.735709740255
2015-09-26,9995.40973190152,3265.231118392775,16486.210678375362
2015-09-27,9353.374118903515,2578.761525853632,16849.95402654137
2015-09-28,5784.478635243375,-921.9520956430777,12831.595894585531
2015-09-29,4392.966587808562,-2288.343091898297,11480.939099288504
2015-09-30,4718.091663564867,-1528.9154390564747,11392.918773880925
2015-10-01,4672.37538664814,-2187.735040940548,11667.330047441304
2015-10-02,5626.008319094255,-1163.9578564765718,12756.585115895681
2015-10-03,9392.62445216945,2745.472224322283,16207.237307132895
2015-10-04,8831.97303029785,2215.2575308325763,15756.538493091055
2015-10-05,5323.628159214277,-1480.7458697430036,12428.958387344654
2015-10-06,3971.947451098536,-2309.2472414071394,10833.121306150317
2015-10-07,4316.755606710144,-2230.5672387262453,11054.735107232336
2015-10-08,4271.584348418534,-2720.933534444186,11022.70232819582
2015-10-09,5208.045363108451,-983.4060104642471,11885.902045463541
2015-10-10,8941.566371047042,2145.260500367348,15306.669595461517
2015-10-11,8334.015504816602,2014.335007853364,15397.541330882288
2015-10-12,4767.355541906269,-2157.816069340381,11668.120064802852
2015-10-13,3348.540654052041,-3023.9115287881373,10059.331399174234
2015-10-14,3620.1331658363815,-2813.1876837694895,9783.884632155854
2015-10-15,3498.4734678029704,-2809.3023558007503,10181.954654204417
2015-10-16,4357.9815669391555,-2415.5336281804093,11072.15013323954
2015-10-17,8016.822257483025,1320.464174707585,14602.626537450744
2015-10-18,7339.460954654779,1069.9567434243206,14082.95957773493
2015-10-19,3710.253534143278,-2738.2057823216055,10239.96054115276
2015-10-20,2238.2845304367,-4068.8154860966947,9158.172238419513
2015-10-21,2467.9327206351945,-3947.1813516434195,9161.038500596253
2015-10-22,2316.9985741078362,-4377.4095137222175,8757.540533982823
2015-10-23,3160.9731499407503,-3673.403629685232,10298.080501343278
2015-10-24,6818.681257111494,5.641433843303585,13370.343143222237
2015-10-25,6154.826461439272,-781.1584823909479,12702.80894340884
2015-10-26,2553.5815178259845,-3942.809535221399,9148.939618629787
2015-10-27,1123.438503633095,-5825.461832213726,8139.820156371994
2015-10-28,1407.7972919025224,-4996.687842305674,8326.671209827258
2015-10-29,1323.126156781961,-5471.367696105611,7759.080296799726
2015-10-30,2243.2731240691937,-4180.246571087613,8993.524841508539
2015-10-31,5985.159658987374,-848.9132849108522,12917.301605734532
2015-11-01,5411.38283276814,-1218.939616023312,12184.798913266039
2015-11-02,1903.867925156972,-4654.309870211933,8717.14867545505
2015-11-03,568.7839836660442,-6227.373460597436,6889.734224073812
2015-11-04,947.1991392892969,-5635.71538241788,7238.13611964781
2015-11-05,953.3075996707203,-5813.223648666973,7315.24947092913
2015-11-06,1958.805081654108,-4233.636012197728,8704.167560522606
2015-11-07,5778.642496782294,-1181.5457601596202,12556.718469133239
2015-11-08,5273.682375275741,-1489.0145180198795,11979.771784009235
2015-11-09,1824.3984984802655,-4614.286209419857,8530.374018843999
2015-11-10,535.8299840825784,-5931.927046801223,7577.040003177272
2015-11-11,948.2655936925439,-5655.6854040122935,7387.21206139956
2015-11-12,975.489428161668,-5116.803879643545,7832.877066588564
2015-11-13,1989.1643127946136,-4960.712578236724,8776.307242108489
2015-11-14,5804.582533677227,-1618.7698893309882,12772.97895849794
2015-11-15,5283.308569634502,-1440.1214566739086,11641.14653637955
2015-11-16,1806.8547542891265,-4934.3628099251755,8141.560355188072
2015-11-17,481.6018683497741,-6244.7027458357425,7341.179358418745
2015-11-18,849.4414566330834,-6108.291942356774,7155.865780309159
2015-11-19,825.9722981638342,-5616.50603835389,7651.32948730063
2015-11-20,1784.8287964453193,-5132.513013685186,8684.778013882069
2015-11-21,5543.37257453394,-1155.29417114556,12230.333698791994
2015-11-22,4965.273654485133,-1690.792340018386,11911.495501333224
2015-11-23,1434.1239516266796,-5212.022970635378,7724.824769566269
2015-11-24,58.296889336650565,-7089.446506625486,6420.68099565918
2015-11-25,381.53169082695877,-6695.738192237416,7065.384204374329
2015-11-26,321.076445030616,-6055.844436685268,6855.802507088576
2015-11-27,1251.9692403693898,-5917.531307838269,7398.422699205778
2015-11-28,4992.689992483019,-1881.2338144258702,11490.661793241468
2015-11-29,4407.710463065181,-2290.9368314305316,11391.344815258095
2015-11-30,881.0860628338996,-5952.820469928222,6779.356782952226
2015-12-01,-478.6961729837976,-7584.699542354866,6154.065654424205
2015-12-02,-128.13459263046843,-6637.932666416974,6557.181825200052
2015-12-03,-150.56083746383956,-7158.312362137111,6738.283455465688
2015-12-04,828.1603237478375,-5872.542762539722,7392.669824854784
2015-12-05,4625.311254350343,-2269.696072643796,11127.190130658759
2015-12-06,4103.908420352222,-3133.297509258575,11203.893669452493
2015-12-07,646.3385393519402,-6002.659891270316,7509.578558507506
2015-12-08,-640.7430412440781,-7370.005374806675,5966.011870325152
2015-12-09,-215.77440227873285,-6990.829055950795,6733.349319544556
2015-12-10,-164.077102312227,-6777.64700475453,6614.190546071624
